Region,Year,Fiscal_Month,Total Launch,Launch Fluctuation,%
AMER,2020,FY21Q1,13,5,38.46%
AMER,2020,FY21Q2,53,22,41.51%
AMER,2020,FY21Q3,20,15,75.00%
AMER,2020,FY21Q4,14,5,35.71%
APJ,2020,FY21Q1,15,11,73.33%
APJ,2020,FY21Q2,61,45,73.77%
APJ,2020,FY21Q3,24,15,62.50%
APJ,2020,FY21Q4,14,4,28.57%
EMEA,2020,FY21Q1,14,10,71.43%
EMEA,2020,FY21Q2,50,31,62.00%
EMEA,2020,FY21Q3,21,5,23.81%
EMEA,2020,FY21Q4,15,10,66.67%
AMER,2021,FY22Q1,19,6,31.58%
AMER,2021,FY22Q2,35,6,17.14%
AMER,2021,FY22Q3,6,3,50.00%
AMER,2021,FY22Q4,9,0,0.00%
APJ,2021,FY22Q1,29,15,51.72%
APJ,2021,FY22Q2,35,6,17.14%
APJ,2021,FY22Q3,5,3,60.00%
APJ,2021,FY22Q4,6,0,0.00%
EMEA,2021,FY22Q1,26,12,46.15%
EMEA,2021,FY22Q2,36,6,16.67%
EMEA,2021,FY22Q3,6,3,50.00%
EMEA,2021,FY22Q4,10,0,0.00%
AMER,2022,FY23Q1,29,14,48.28%
AMER,2022,FY23Q2,6,0,0.00%
AMER,2022,FY23Q3,2,0,0.00%
AMER,2022,FY23Q4,0,0,0.00%
APJ,2022,FY23Q1,33,13,39.39%
APJ,2022,FY23Q2,3,0,0.00%
APJ,2022,FY23Q3,3,0,0.00%
APJ,2022,FY23Q4,0,0,0.00%
EMEA,2022,FY23Q1,36,15,41.67%
EMEA,2022,FY23Q2,2,0,0.00%
EMEA,2022,FY23Q3,5,0,0.00%
EMEA,2022,FY23Q4,1,0,0.00%
